Don't,Delete,This,Line,11,10,9,8,7,6,5,4,3,2,1,0
S1,6,,,,,,,,,,,,,,
FA,0,0,1,1,1,2,2,2,2,2,1,1,1,0,0
HA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P,1,2,0,1,2,0,1,2,1,0,2,1,0,0,1
S2,4,,,,,,,,,,,,,,
FA,0,1,0,1,1,1,1,2,1,1,1,1,0,0,0
HA,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
P,1,0,2,0,2,1,0,0,0,0,1,0,0,1,1
S3,3,,,,,,,,,,,,,,
FA,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0
HA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,2,1,0,2,1,1,1,1,0,2,0,0,1,1,1
S4,2,,,,,,,,,,,,,,
FA,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
HA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
P,2,2,1,0,0,0,0,1,1,0,0,1,1,1,1
